wl,n
14.09,3.4697443913
14.10,3.4697423611
14.11,3.4697403208
14.12,3.4697382711
14.13,3.4697362125
14.14,3.4697341455
14.15,3.4697320706
14.16,3.4697299882
14.17,3.4697278986
14.18,3.4697258022
14.19,3.4697236993
14.20,3.4697215902
14.21,3.4697194750
14.22,3.4697173541
14.23,3.4697152276
14.24,3.4697130956
14.25,3.4697109583
14.26,3.4697088158
14.27,3.4697066682
14.28,3.4697045156
14.29,3.4697023580
14.30,3.4697001954
14.31,3.4696980280
14.32,3.4696958557
14.33,3.4696936786
14.34,3.4696914965
14.35,3.4696893095
14.36,3.4696871176
14.37,3.4696849207
14.38,3.4696827188
14.39,3.4696805118
14.40,3.4696782996
14.41,3.4696760822
14.42,3.4696738595
14.43,3.4696716315
14.44,3.4696693980
14.45,3.4696671589
14.46,3.4696649141
14.47,3.4696626636
14.48,3.4696604073
14.49,3.4696581449
14.50,3.4696558765
14.51,3.4696536019
14.52,3.4696513209
14.53,3.4696490336
14.54,3.4696467396
14.55,3.4696444390
14.56,3.4696421317
14.57,3.4696398174
14.58,3.4696374960
14.59,3.4696351675
14.60,3.4696328317
14.61,3.4696304885
14.62,3.4696281377
14.63,3.4696257793
14.64,3.4696234131
14.65,3.4696210389
14.66,3.4696186568
14.67,3.4696162665
14.68,3.4696138679
14.69,3.4696114609
